Title,director,mpa_rating,length,genre,release_date,imdb_rating,vote_count,synopsis
In the Mood for Love,Kar-Wai Wong,PG,1h 38min,Drama,9 March 2001 (USA),8.1,"113,777","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
The Invisible Guest,Oriol Paulo,,1h 46min,Crime,6 January 2017 (Spain),8.1,"107,629",A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defence.
Drishyam,Nishikant Kamat,Not Rated,2h 43min,Crime,31 July 2015 (USA),8.2,"60,799","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
La Haine,Mathieu Kassovitz,Not Rated,1h 38min,Crime,23 February 1996 (USA),8.1,"138,486",24 hours in the lives of three young men in the French suburbs the day after a violent riot.
Underground,Emir Kusturica,Not Rated,2h 47min,Comedy,20 June 1997 (USA),8.1,"52,889","A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate."
It Happened One Night,Frank Capra,Not Rated,1h 45min,Comedy,22 February 1934 (USA),8.1,"88,627",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
Rebecca,Alfred Hitchcock,Approved,2h 10min,Drama,12 April 1940 (USA),8.1,"115,786",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
Gangs of Wasseypur,Anurag Kashyap,R,5h 21min,Action,22 June 2012 (India),8.2,"73,893","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
Portrait of a Lady on Fire,Céline Sciamma,R,2h 2min,Drama,14 February 2020 (USA),8.2,"26,481","On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
Rocky,John G. Avildsen,PG,2h,Drama,3 December 1976 (USA),8.1,"494,273",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.
"Monsters, Inc.",Pete Docter,G,1h 32min,Animation,2 November 2001 (USA),8.0,"776,994","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
The Handmaiden,Chan-wook Park,Not Rated,2h 25min,Drama,28 October 2016 (Canada),8.1,"94,872","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
Spotlight,Tom McCarthy,R,2h 9min,Biography,20 November 2015 (USA),8.1,"391,227","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
Nausicaä of the Valley of the Wind,Hayao Miyazaki,PG,1h 57min,Animation,25 November 1987 (USA),8.1,"137,255",Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
Amores Perros,Alejandro G. Iñárritu,R,2h 34min,Drama,13 April 2001 (USA),8.1,"214,062","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
The 400 Blows,François Truffaut,Not Rated,1h 39min,Crime,16 November 1959 (USA),8.1,"97,706","A young boy, left without attention, delves into a life of petty crime."
Hotel Rwanda,Terry George,PG-13,2h 1min,Biography,4 February 2005 (USA),8.1,"323,278",Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.
Dead Poets Society,Peter Weir,PG,2h 8min,Comedy,9 June 1989 (USA),8.1,"395,783",English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.
Rang De Basanti,Rakeysh Omprakash Mehra,Not Rated,2h 47min,Comedy,26 January 2006 (USA),8.2,"105,180","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
Harry Potter and the Deathly Hallows: Part 2,David Yates,PG-13,2h 10min,Adventure,15 July 2011 (USA),8.1,"723,741","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
Andrei Rublev,Andrei Tarkovsky,R,3h 25min,Biography,October 1973 (USA),8.2,"42,423","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
Rush,Ron Howard,R,2h 3min,Biography,27 September 2013 (USA),8.1,"411,748",The merciless 1970s rivalry between Formula One rivals
Platoon,Oliver Stone,R,2h,Drama,6 February 1987 (USA),8.1,"365,580",A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
Hachi: A Dog's Tale,Lasse Hallström,G,1h 33min,Drama,12 March 2010 (UK),8.1,"237,346",A college professor bonds with an abandoned dog he takes into his home.
Logan,James Mangold,R,2h 17min,Action,3 March 2017 (USA),8.1,"606,019","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
Ben-Hur,William Wyler,G,3h 32min,Adventure,29 January 1960 (Brazil),8.1,"209,522","When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
Monty Python's Life of Brian,Terry Jones,R,1h 34min,Comedy,17 August 1979 (USA),8.1,"350,453",Born on the original Christmas in the stable next door to
Million Dollar Baby,Clint Eastwood,PG-13,2h 12min,Drama,28 January 2005 (USA),8.1,"608,935",A determined woman works with a hardened boxing trainer to become a professional.
The Passion of Joan of Arc,Carl Theodor Dreyer,Not Rated,1h 54min,Biography,25 October 1928 (France),8.1,"43,583","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
Into the Wild,Sean Penn,R,2h 28min,Adventure,19 October 2007 (USA),8.1,"545,244","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
Network,Sidney Lumet,R,2h 1min,Drama,27 November 1976 (USA),8.1,"137,804",A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
Stand by Me,Rob Reiner,R,1h 29min,Adventure,26 November 1986 (USA),8.1,"347,146","After the death of one of his friends, a writer recounts a boyhood journey with his friends to find the body of a missing boy."
Cool Hand Luke,Stuart Rosenberg,GP,2h 7min,Crime,1 November 1967 (USA),8.1,"154,742","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
Barry Lyndon,Stanley Kubrick,PG,3h 5min,Adventure,18 December 1975 (USA),8.1,"140,033",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
Mad Max: Fury Road,George Miller,R,2h,Action,15 May 2015 (USA),8.1,"827,327","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
The Wages of Fear,Henri-Georges Clouzot,Not Rated,2h 11min,Adventure,16 February 1955 (USA),8.1,"50,966","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
12 Years a Slave,Steve McQueen,R,2h 14min,Biography,8 November 2013 (USA),8.1,"606,884","In the antebellum United States,"
Catch Me If You Can,Steven Spielberg,PG-13,2h 21min,Biography,25 December 2002 (USA),8.1,"770,090",A seasoned FBI agent pursues
Prisoners,Denis Villeneuve,R,2h 33min,Crime,20 September 2013 (USA),8.1,"559,989","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
Persona,Ingmar Bergman,Not Rated,1h 23min,Drama,16 March 1967 (USA),8.1,"93,664",A nurse is put in charge of a mute actress and finds that their personae are melding together.
Before Sunrise,Richard Linklater,R,1h 41min,Drama,27 January 1995 (USA),8.1,"252,074","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
Sherlock Jr.,Buster Keaton,Not Rated,45min,Action,11 May 1924 (USA),8.2,"36,898","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
The General,Clyde Bruckman,Passed,1h 7min,Action,2 January 1927 (USA),8.1,"75,760","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
Mr. Smith Goes to Washington,Frank Capra,Not Rated,2h 9min,Comedy,19 October 1939 (USA),8.1,"101,996","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
Gone Girl,David Fincher,R,2h 29min,Drama,3 October 2014 (USA),8.1,"805,815","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
How to Train Your Dragon,Dean DeBlois,PG,1h 38min,Animation,26 March 2010 (USA),8.1,"637,369","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
In the Name of the Father,Jim Sheridan,R,2h 13min,Biography,25 February 1994 (USA),8.1,"148,063",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
